epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2793.87,1.44109,0.87956,1.33966,0.73406,0.76536,0.69848,0.27949,1.88299,1.05756,1.59629,0.000775703,0.000775703,0.000775703
31,2886.26,1.42753,0.85392,1.32566,0.6697,0.70819,0.62615,0.25419,2.00009,1.30661,1.68978,0.000767969,0.000767969,0.000767969
32,2975.57,1.43312,0.86662,1.32987,0.63943,0.74902,0.63477,0.26433,1.87287,1.22675,1.59817,0.000760234,0.000760234,0.000760234
33,3064.87,1.40853,0.86431,1.31896,0.82725,0.82301,0.82844,0.37279,1.74426,0.88819,1.54534,0.0007525,0.0007525,0.0007525
34,3157.13,1.43036,0.87134,1.32877,0.70579,0.74792,0.68309,0.27664,1.92239,1.07269,1.67088,0.000744766,0.000744766,0.000744766
35,3249.19,1.41128,0.83456,1.33301,0.71196,0.74422,0.67822,0.28089,1.89453,1.17315,1.62888,0.000737031,0.000737031,0.000737031
36,3340.8,1.41154,0.82748,1.30023,0.76737,0.79005,0.76466,0.31003,1.86104,0.98799,1.62187,0.000729297,0.000729297,0.000729297
37,3433.16,1.38127,0.8429,1.32828,0.72109,0.72971,0.67143,0.2839,1.89367,1.09615,1.61793,0.000721562,0.000721562,0.000721562
38,3524.83,1.38596,0.81651,1.30935,0.70393,0.74801,0.66965,0.27359,2.00703,1.18026,1.72833,0.000713828,0.000713828,0.000713828
39,3616.43,1.39603,0.81588,1.30015,0.79534,0.80286,0.78685,0.34793,1.81943,0.85323,1.59939,0.000706094,0.000706094,0.000706094
40,3708.88,1.37596,0.80472,1.31055,0.73883,0.73409,0.68246,0.26826,2.01722,1.04892,1.77002,0.000698359,0.000698359,0.000698359
41,3801.19,1.41937,0.80806,1.3375,0.72446,0.7232,0.66406,0.25578,2.00764,1.14889,1.72932,0.000690625,0.000690625,0.000690625
